"";"n";"lambda";"p";"df";"method";"cov_2norm"
"545";10000;14;3;10;"PCA";0,112635975697506
"546";10000;14;3;10;"SPCA";0,165203717971608
"547";10000;15;3;3;"PCA";21,4022980784726
"548";10000;15;3;3;"SPCA";0,150274906739373
"549";10000;15;3;5;"PCA";0,215700633104482
"550";10000;15;3;5;"SPCA";0,166831197782157
"551";10000;15;3;10;"PCA";0,102046634080063
"552";10000;15;3;10;"SPCA";0,157225159958462
"553";10000;16;3;3;"PCA";3,17058356587322
"554";10000;16;3;3;"SPCA";0,146841693674363
"555";10000;16;3;5;"PCA";0,237496321426683
"556";10000;16;3;5;"SPCA";0,148065412596771
"557";10000;16;3;10;"PCA";0,100919477050174
"558";10000;16;3;10;"SPCA";0,146499490764449
"559";10000;17;3;3;"PCA";3,79352091902489
"560";10000;17;3;3;"SPCA";0,13781365559056
"561";10000;17;3;5;"PCA";0,186284592575908
"562";10000;17;3;5;"SPCA";0,133597325696975
"563";10000;17;3;10;"PCA";0,0996458663644735
"564";10000;17;3;10;"SPCA";0,148831652395425
"565";10000;18;3;3;"PCA";3,37037035681354
"566";10000;18;3;3;"SPCA";0,133894716928804
"567";10000;18;3;5;"PCA";0,184031336793755
"568";10000;18;3;5;"SPCA";0,130892175407911
"569";10000;18;3;10;"PCA";0,0857254387692863
"570";10000;18;3;10;"SPCA";0,125957339013274
"571";10000;19;3;3;"PCA";3,68127866400866
"572";10000;19;3;3;"SPCA";0,118574769287818
"573";10000;19;3;5;"PCA";0,183088142403509
"574";10000;19;3;5;"SPCA";0,119402568913612
"575";10000;19;3;10;"PCA";0,0771166249005822
"576";10000;19;3;10;"SPCA";0,124425858628721
"577";10000;20;3;3;"PCA";2,98637364015829
"578";10000;20;3;3;"SPCA";0,120685774472964
"579";10000;20;3;5;"PCA";0,161631517484422
"580";10000;20;3;5;"SPCA";0,116993769976819
"581";10000;20;3;10;"PCA";0,0725928258916795
"582";10000;20;3;10;"SPCA";0,112470216262478
"583";10000;21;3;3;"PCA";4,62759036767013
"584";10000;21;3;3;"SPCA";0,120933729767924
"585";10000;21;3;5;"PCA";0,156944953218051
"586";10000;21;3;5;"SPCA";0,112232528453511
"587";10000;21;3;10;"PCA";0,0779739248050258
"588";10000;21;3;10;"SPCA";0,116325498693216
"589";10000;22;3;3;"PCA";2,47668421056642
"590";10000;22;3;3;"SPCA";0,104508187683902
"591";10000;22;3;5;"PCA";0,150324565937265
"592";10000;22;3;5;"SPCA";0,108494008048069
"593";10000;22;3;10;"PCA";0,0702995334707252
"594";10000;22;3;10;"SPCA";0,1105081314048
"595";10000;23;3;3;"PCA";2,48148122108104
"596";10000;23;3;3;"SPCA";0,103509154635834
"597";10000;23;3;5;"PCA";0,130880640886904
"598";10000;23;3;5;"SPCA";0,0993519294266879
"599";10000;23;3;10;"PCA";0,0670147704129631
"600";10000;23;3;10;"SPCA";0,102325927780146
"601";10000;24;3;3;"PCA";2,52633909508116
"602";10000;24;3;3;"SPCA";0,103745412416287
"603";10000;24;3;5;"PCA";0,159683105808554
"604";10000;24;3;5;"SPCA";0,0986529128585128
"605";10000;24;3;10;"PCA";0,0641489283516905
"606";10000;24;3;10;"SPCA";0,0928280482407028
"607";10000;25;3;3;"PCA";1,85593131783589
"608";10000;25;3;3;"SPCA";0,0973161668868509
"609";10000;25;3;5;"PCA";0,138585313296056
"610";10000;25;3;5;"SPCA";0,0923960452802142
"611";10000;25;3;10;"PCA";0,0628694606790633
"612";10000;25;3;10;"SPCA";0,0954421509536113
"613";10000;26;3;3;"PCA";2,40409924481837
"614";10000;26;3;3;"SPCA";0,0922804384600524
"615";10000;26;3;5;"PCA";0,122134826070664
"616";10000;26;3;5;"SPCA";0,0904031506555896
"617";10000;26;3;10;"PCA";0,0592695459996866
"618";10000;26;3;10;"SPCA";0,084943180977331
"619";10000;27;3;3;"PCA";2,1350014504744
"620";10000;27;3;3;"SPCA";0,0909977974418545
"621";10000;27;3;5;"PCA";0,118568382760923
"622";10000;27;3;5;"SPCA";0,0840780494550095
"623";10000;27;3;10;"PCA";0,0552082039269474
"624";10000;27;3;10;"SPCA";0,0893839512320127
"625";10000;28;3;3;"PCA";1,78460799938865
"626";10000;28;3;3;"SPCA";0,0852005840506884
"627";10000;28;3;5;"PCA";0,109960997205059
"628";10000;28;3;5;"SPCA";0,0895301310624738
"629";10000;28;3;10;"PCA";0,0515314377909568
"630";10000;28;3;10;"SPCA";0,0865112749576233
"631";10000;29;3;3;"PCA";1,98079825887409
"632";10000;29;3;3;"SPCA";0,0790033025456254
"633";10000;29;3;5;"PCA";0,10844607880483
"634";10000;29;3;5;"SPCA";0,0863124473813731
"635";10000;29;3;10;"PCA";0,052766166892213
"636";10000;29;3;10;"SPCA";0,0801361266776506
"637";10000;30;3;3;"PCA";2,38948382338505
"638";10000;30;3;3;"SPCA";0,0805117853721608
"639";10000;30;3;5;"PCA";0,101129350064821
"640";10000;30;3;5;"SPCA";0,0783029352177981
"641";10000;30;3;10;"PCA";0,0495124715877643
"642";10000;30;3;10;"SPCA";0,0792329023445983
"643";10000;31;3;3;"PCA";1,41605160269831
"644";10000;31;3;3;"SPCA";0,0751817066406802
"645";10000;31;3;5;"PCA";0,101624535670912
"646";10000;31;3;5;"SPCA";0,0729909018089184
"647";10000;31;3;10;"PCA";0,0487866785265487
"648";10000;31;3;10;"SPCA";0,078740401244561
"649";10000;32;3;3;"PCA";1,95232229679556
"650";10000;32;3;3;"SPCA";0,0773671224101807
"651";10000;32;3;5;"PCA";0,0954529399212155
"652";10000;32;3;5;"SPCA";0,0701495145416835
"653";10000;32;3;10;"PCA";0,0452877358324104
"654";10000;32;3;10;"SPCA";0,0750586988605221
"655";10000;33;3;3;"PCA";1,86466805921734
"656";10000;33;3;3;"SPCA";0,0718352627771601
"657";10000;33;3;5;"PCA";0,101065827051966
"658";10000;33;3;5;"SPCA";0,074382875017244
"659";10000;33;3;10;"PCA";0,0447287065620485
"660";10000;33;3;10;"SPCA";0,0755851474591589
"661";10000;34;3;3;"PCA";1,56573309395245
"662";10000;34;3;3;"SPCA";0,070070349944991
"663";10000;34;3;5;"PCA";0,119559793862398
"664";10000;34;3;5;"SPCA";0,0669348055832291
"665";10000;34;3;10;"PCA";0,0405317960168904
"666";10000;34;3;10;"SPCA";0,0667056760387719
"667";10000;35;3;3;"PCA";2,13153310638046
"668";10000;35;3;3;"SPCA";0,0678638150322918
"669";10000;35;3;5;"PCA";0,0852058518375526
"670";10000;35;3;5;"SPCA";0,0661226360712961
"671";10000;35;3;10;"PCA";0,0431020224221884
"672";10000;35;3;10;"SPCA";0,0672710613364384
"673";10000;36;3;3;"PCA";2,86784744825084
"674";10000;36;3;3;"SPCA";0,0689609178266546
"675";10000;36;3;5;"PCA";0,0824929133160133
"676";10000;36;3;5;"SPCA";0,063032326073888
"677";10000;36;3;10;"PCA";0,0415417218695181
"678";10000;36;3;10;"SPCA";0,067604150769384
"679";10000;37;3;3;"PCA";1,45201458448137
"680";10000;37;3;3;"SPCA";0,0662976830816046
"681";10000;37;3;5;"PCA";0,0842755061701998
"682";10000;37;3;5;"SPCA";0,0644735633440418
"683";10000;37;3;10;"PCA";0,0403694761036586
"684";10000;37;3;10;"SPCA";0,0654069298342658
"685";10000;38;3;3;"PCA";2,17480254640198
"686";10000;38;3;3;"SPCA";0,0616497808148279
"687";10000;38;3;5;"PCA";0,0817558198078605
"688";10000;38;3;5;"SPCA";0,0655431975962393
"689";10000;38;3;10;"PCA";0,0408151620024951
"690";10000;38;3;10;"SPCA";0,0639164809698395
"691";10000;39;3;3;"PCA";1,78200518447547
"692";10000;39;3;3;"SPCA";0,0623494725643871
"693";10000;39;3;5;"PCA";0,0775414007779308
"694";10000;39;3;5;"SPCA";0,0615985627240968
"695";10000;39;3;10;"PCA";0,0369568700168596
"696";10000;39;3;10;"SPCA";0,0599994704498641
"697";10000;40;3;3;"PCA";0,989714697653479
"698";10000;40;3;3;"SPCA";0,0605686988713819
"699";10000;40;3;5;"PCA";0,0735121908464638
"700";10000;40;3;5;"SPCA";0,0629090277821301
"701";10000;40;3;10;"PCA";0,0363294986686876
"702";10000;40;3;10;"SPCA";0,0611198880251237
"703";500;2;5;3;"PCA";25,8449770108107
"704";500;2;5;3;"SPCA";3,24007327166917
"705";500;2;5;5;"PCA";6,31365989294073
"706";500;2;5;5;"SPCA";3,0766115249312
"707";500;2;5;10;"PCA";2,97103710262171
"708";500;2;5;10;"SPCA";3,11435181386959
"709";500;3;5;3;"PCA";9,7611132020111
"710";500;3;5;3;"SPCA";1,17198716366495
"711";500;3;5;5;"PCA";2,17436298355321
"712";500;3;5;5;"SPCA";1,25511939474463
"713";500;3;5;10;"PCA";1,03504028725053
"714";500;3;5;10;"SPCA";1,16868177938589
"715";500;4;5;3;"PCA";6,97777995490854
"716";500;4;5;3;"SPCA";0,731099412616558
"717";500;4;5;5;"PCA";1,40652932308709
"718";500;4;5;5;"SPCA";0,738869105205879
"719";500;4;5;10;"PCA";0,640237659870066
"720";500;4;5;10;"SPCA";0,766814499746187
"721";500;5;5;3;"PCA";4,48605743954163
"722";500;5;5;3;"SPCA";0,548803314208563
"723";500;5;5;5;"PCA";0,96734051984132
"724";500;5;5;5;"SPCA";0,575625912835513
"725";500;5;5;10;"PCA";0,447953125039475
"726";500;5;5;10;"SPCA";0,547563113981386
"727";500;6;5;3;"PCA";3,9777375623855
"728";500;6;5;3;"SPCA";0,455732961882284
"729";500;6;5;5;"PCA";0,810658193655017
"730";500;6;5;5;"SPCA";0,419009803846081
"731";500;6;5;10;"PCA";0,358852835221019
"732";500;6;5;10;"SPCA";0,435476466470529
"733";500;7;5;3;"PCA";3,25455464490019
"734";500;7;5;3;"SPCA";0,360738160388822
"735";500;7;5;5;"PCA";0,559378050132879
"736";500;7;5;5;"SPCA";0,358350361912856
"737";500;7;5;10;"PCA";0,278666922796726
"738";500;7;5;10;"SPCA";0,353190717301099
"739";500;8;5;3;"PCA";2,69924708529014
"740";500;8;5;3;"SPCA";0,295977413632112
"741";500;8;5;5;"PCA";0,475809668600045
"742";500;8;5;5;"SPCA";0,290903171874066
"743";500;8;5;10;"PCA";0,230321797936704
"744";500;8;5;10;"SPCA";0,297127999363044
"745";500;9;5;3;"PCA";2,40994092955363
"746";500;9;5;3;"SPCA";0,272753150136041
"747";500;9;5;5;"PCA";0,419399672398335
"748";500;9;5;5;"SPCA";0,256948611745638
"749";500;9;5;10;"PCA";0,192737527039256
"750";500;9;5;10;"SPCA";0,256279053107821
"751";500;10;5;3;"PCA";2,31541074180088
"752";500;10;5;3;"SPCA";0,232018530123475
"753";500;10;5;5;"PCA";0,327778193676131
"754";500;10;5;5;"SPCA";0,240492594228986
"755";500;10;5;10;"PCA";0,179004066543719
"756";500;10;5;10;"SPCA";0,250291951573353
"757";500;11;5;3;"PCA";2,05543630312014
"758";500;11;5;3;"SPCA";0,202098359305166
"759";500;11;5;5;"PCA";0,316074892880632
"760";500;11;5;5;"SPCA";0,206571252940105
"761";500;11;5;10;"PCA";0,15529699106943
"762";500;11;5;10;"SPCA";0,210090789924946
"763";500;12;5;3;"PCA";1,84954627192297
"764";500;12;5;3;"SPCA";0,187126214301743
"765";500;12;5;5;"PCA";0,364492916646179
"766";500;12;5;5;"SPCA";0,191966593565455
"767";500;12;5;10;"PCA";0,142461019283167
"768";500;12;5;10;"SPCA";0,190047766783653
"769";500;13;5;3;"PCA";1,17612529089156
"770";500;13;5;3;"SPCA";0,166822133553407
"771";500;13;5;5;"PCA";0,240879941844944
"772";500;13;5;5;"SPCA";0,171982583730251
"773";500;13;5;10;"PCA";0,132337548153929
"774";500;13;5;10;"SPCA";0,176728993295068
"775";500;14;5;3;"PCA";1,8651841085422
"776";500;14;5;3;"SPCA";0,152890429209998
"777";500;14;5;5;"PCA";0,236621977683762
"778";500;14;5;5;"SPCA";0,156083455488211
"779";500;14;5;10;"PCA";0,11430739165827
"780";500;14;5;10;"SPCA";0,161256945238662
"781";500;15;5;3;"PCA";0,834703413987008
"782";500;15;5;3;"SPCA";0,160629666746591
"783";500;15;5;5;"PCA";0,225778187459988
"784";500;15;5;5;"SPCA";0,150794873366442
"785";500;15;5;10;"PCA";0,116730793435796
"786";500;15;5;10;"SPCA";0,153273640083419
"787";500;16;5;3;"PCA";1,17746319640526
"788";500;16;5;3;"SPCA";0,135300495759255
"789";500;16;5;5;"PCA";0,195470896836242
"790";500;16;5;5;"SPCA";0,141936178430071
"791";500;16;5;10;"PCA";0,101806073374283
"792";500;16;5;10;"SPCA";0,141960041786641
"793";500;17;5;3;"PCA";0,966002223605217
"794";500;17;5;3;"SPCA";0,138306351077997
"795";500;17;5;5;"PCA";0,181373218656091
"796";500;17;5;5;"SPCA";0,131568084773807
"797";500;17;5;10;"PCA";0,0985494205775198
"798";500;17;5;10;"SPCA";0,133690044175295
"799";500;18;5;3;"PCA";1,4795149399639
"800";500;18;5;3;"SPCA";0,122419568511502
"801";500;18;5;5;"PCA";0,163141818013931
"802";500;18;5;5;"SPCA";0,120401349985959
"803";500;18;5;10;"PCA";0,0886681825824849
"804";500;18;5;10;"SPCA";0,120472205410535
"805";500;19;5;3;"PCA";1,73443382717222
"806";500;19;5;3;"SPCA";0,127781839674713
"807";500;19;5;5;"PCA";0,159679770818727
"808";500;19;5;5;"SPCA";0,118853733331477
"809";500;19;5;10;"PCA";0,0856620337308622
"810";500;19;5;10;"SPCA";0,120357369021865
"811";500;20;5;3;"PCA";0,804172111553031
"812";500;20;5;3;"SPCA";0,120608739751597
"813";500;20;5;5;"PCA";0,152872272701471
"814";500;20;5;5;"SPCA";0,109773694995812
"815";500;20;5;10;"PCA";0,0799286178365312
"816";500;20;5;10;"SPCA";0,113773776225546
"817";500;21;5;3;"PCA";0,730164461245867
"818";500;21;5;3;"SPCA";0,109803935640476
"819";500;21;5;5;"PCA";0,140416475127446
"820";500;21;5;5;"SPCA";0,0995712959759253
"821";500;21;5;10;"PCA";0,0772858988963467
"822";500;21;5;10;"SPCA";0,109050605013918
"823";500;22;5;3;"PCA";0,848886662212388
"824";500;22;5;3;"SPCA";0,0995234677031563
"825";500;22;5;5;"PCA";0,159815846715864
"826";500;22;5;5;"SPCA";0,0992819213936976
"827";500;22;5;10;"PCA";0,0763009887477011
"828";500;22;5;10;"SPCA";0,0997560559461546
"829";500;23;5;3;"PCA";0,874459241364146
"830";500;23;5;3;"SPCA";0,0970746006369373
"831";500;23;5;5;"PCA";0,149401945242455
"832";500;23;5;5;"SPCA";0,0931230180043232
"833";500;23;5;10;"PCA";0,0702673438815763
"834";500;23;5;10;"SPCA";0,100147442814171
"835";500;24;5;3;"PCA";0,679311011469796
"836";500;24;5;3;"SPCA";0,0967184485804405
"837";500;24;5;5;"PCA";0,129372237710572
"838";500;24;5;5;"SPCA";0,0897469269182763
"839";500;24;5;10;"PCA";0,0700631444045336
"840";500;24;5;10;"SPCA";0,0890031313585515
"841";500;25;5;3;"PCA";0,860838617676884
"842";500;25;5;3;"SPCA";0,0928260294792938
"843";500;25;5;5;"PCA";0,114966145112263
"844";500;25;5;5;"SPCA";0,088300184727079
"845";500;25;5;10;"PCA";0,05963291067082
"846";500;25;5;10;"SPCA";0,0855786487382211
"847";500;26;5;3;"PCA";0,695323211144279
"848";500;26;5;3;"SPCA";0,0888804171384177
"849";500;26;5;5;"PCA";0,110318942549523
"850";500;26;5;5;"SPCA";0,0859087343637626
"851";500;26;5;10;"PCA";0,0587574298749737
"852";500;26;5;10;"SPCA";0,0879009923745302
"853";500;27;5;3;"PCA";0,567440505493345
"854";500;27;5;3;"SPCA";0,080493752991347
"855";500;27;5;5;"PCA";0,109631821657836
"856";500;27;5;5;"SPCA";0,0851384753402295
"857";500;27;5;10;"PCA";0,057588369407979
"858";500;27;5;10;"SPCA";0,081092181539396
"859";500;28;5;3;"PCA";0,566407356641302
"860";500;28;5;3;"SPCA";0,0842650827803701
"861";500;28;5;5;"PCA";0,101629534167159
"862";500;28;5;5;"SPCA";0,0781099701198145
"863";500;28;5;10;"PCA";0,0591161936064335
"864";500;28;5;10;"SPCA";0,0779688842319335
"865";500;29;5;3;"PCA";0,566322323002936
"866";500;29;5;3;"SPCA";0,0774738696333504
"867";500;29;5;5;"PCA";0,0949541764530914
"868";500;29;5;5;"SPCA";0,0774286863666195
"869";500;29;5;10;"PCA";0,0527042862822707
"870";500;29;5;10;"SPCA";0,0764384131588052
"871";500;30;5;3;"PCA";0,500746133240781
"872";500;30;5;3;"SPCA";0,0744365824678657
"873";500;30;5;5;"PCA";0,0977379315045451
"874";500;30;5;5;"SPCA";0,0699978653134423
"875";500;30;5;10;"PCA";0,0496668418737821
"876";500;30;5;10;"SPCA";0,0743760164638724
"877";500;31;5;3;"PCA";0,747002002063286
"878";500;31;5;3;"SPCA";0,0720451392201203
"879";500;31;5;5;"PCA";0,0921200227157075
"880";500;31;5;5;"SPCA";0,0744292119500353
"881";500;31;5;10;"PCA";0,0467023264622305
"882";500;31;5;10;"SPCA";0,072545702693345
"883";500;32;5;3;"PCA";0,57985502216476
"884";500;32;5;3;"SPCA";0,0713103002102234
"885";500;32;5;5;"PCA";0,0904614738130741
"886";500;32;5;5;"SPCA";0,0696895854272526
"887";500;32;5;10;"PCA";0,0469828869099564
"888";500;32;5;10;"SPCA";0,0695160803074649
"889";500;33;5;3;"PCA";0,425700447323919
"890";500;33;5;3;"SPCA";0,0701546171369057
"891";500;33;5;5;"PCA";0,103220389676393
"892";500;33;5;5;"SPCA";0,0671908345463325
"893";500;33;5;10;"PCA";0,0464327328590525
"894";500;33;5;10;"SPCA";0,0673652956224345
"895";500;34;5;3;"PCA";0,453488894422979
"896";500;34;5;3;"SPCA";0,0693256448208104
"897";500;34;5;5;"PCA";0,0904460317602439
"898";500;34;5;5;"SPCA";0,0681631203504832
"899";500;34;5;10;"PCA";0,0469998317654246
"900";500;34;5;10;"SPCA";0,0726171604199028
"901";500;35;5;3;"PCA";0,423917516486279
"902";500;35;5;3;"SPCA";0,0685380435672087
"903";500;35;5;5;"PCA";0,0847925481133941
"904";500;35;5;5;"SPCA";0,0667398659674874
"905";500;35;5;10;"PCA";0,0440441272667218
"906";500;35;5;10;"SPCA";0,0632167689221615
"907";500;36;5;3;"PCA";0,477534617251823
"908";500;36;5;3;"SPCA";0,0639626879083955
"909";500;36;5;5;"PCA";0,0775786539470149
"910";500;36;5;5;"SPCA";0,0641963896465709
"911";500;36;5;10;"PCA";0,0436787725157931
"912";500;36;5;10;"SPCA";0,0652259561034298
"913";500;37;5;3;"PCA";0,347821603681743
"914";500;37;5;3;"SPCA";0,0580701435205709
"915";500;37;5;5;"PCA";0,0782800125050871
"916";500;37;5;5;"SPCA";0,0600032469111154
"917";500;37;5;10;"PCA";0,0407297116152741
"918";500;37;5;10;"SPCA";0,0633160475225351
"919";500;38;5;3;"PCA";0,387452203889656
"920";500;38;5;3;"SPCA";0,0575181487644925
"921";500;38;5;5;"PCA";0,0702521758549147
"922";500;38;5;5;"SPCA";0,0599842684237537
"923";500;38;5;10;"PCA";0,0382244408919664
"924";500;38;5;10;"SPCA";0,0557893987980657
"925";500;39;5;3;"PCA";0,397928761534023
"926";500;39;5;3;"SPCA";0,0605363924018215
"927";500;39;5;5;"PCA";0,0760874499429757
"928";500;39;5;5;"SPCA";0,0574847869463631
"929";500;39;5;10;"PCA";0,0393359636461802
"930";500;39;5;10;"SPCA";0,0577640068150377
"931";500;40;5;3;"PCA";0,390402785422056
"932";500;40;5;3;"SPCA";0,0567966427287349
"933";500;40;5;5;"PCA";0,0646791367834008
"934";500;40;5;5;"SPCA";0,0562573715881751
"935";500;40;5;10;"PCA";0,0411249892928031
"936";500;40;5;10;"SPCA";0,059973721158245
"937";1000;2;5;3;"PCA";35,5226430336645
"938";1000;2;5;3;"SPCA";3,19463455674076
"939";1000;2;5;5;"PCA";6,42381185287578
"940";1000;2;5;5;"SPCA";3,14563648160215
"941";1000;2;5;10;"PCA";2,94845380814194
"942";1000;2;5;10;"SPCA";3,21297253693337
"943";1000;3;5;3;"PCA";15,6177724787796
"944";1000;3;5;3;"SPCA";1,26443683077484
"945";1000;3;5;5;"PCA";2,71671627664193
"946";1000;3;5;5;"SPCA";1,23348886079211
"947";1000;3;5;10;"PCA";1,09863088628
"948";1000;3;5;10;"SPCA";1,23515687732541
"949";1000;4;5;3;"PCA";11,6418446043058
"950";1000;4;5;3;"SPCA";0,700990653757725
"951";1000;4;5;5;"PCA";1,36937362909927
"952";1000;4;5;5;"SPCA";0,765075501554933
"953";1000;4;5;10;"PCA";0,621744963997359
"954";1000;4;5;10;"SPCA";0,691990840575469
"955";1000;5;5;3;"PCA";7,93505397658883
"956";1000;5;5;3;"SPCA";0,53174983308524
"957";1000;5;5;5;"PCA";0,976093343384384
"958";1000;5;5;5;"SPCA";0,532368839438863
"959";1000;5;5;10;"PCA";0,427050662276761
"960";1000;5;5;10;"SPCA";0,537855868514529
"961";1000;6;5;3;"PCA";6,37904522730355
"962";1000;6;5;3;"SPCA";0,438585900402858
"963";1000;6;5;5;"PCA";0,823125505367462
"964";1000;6;5;5;"SPCA";0,453665447242311
"965";1000;6;5;10;"PCA";0,352629289363332
"966";1000;6;5;10;"SPCA";0,462664742947943
"967";1000;7;5;3;"PCA";5,33822317823194
"968";1000;7;5;3;"SPCA";0,350141556345123
"969";1000;7;5;5;"PCA";0,663354552794102
"970";1000;7;5;5;"SPCA";0,348546841339568
"971";1000;7;5;10;"PCA";0,280584139408506
"972";1000;7;5;10;"SPCA";0,341583931948693
"973";1000;8;5;3;"PCA";3,61721433649338
"974";1000;8;5;3;"SPCA";0,293943469313502
"975";1000;8;5;5;"PCA";0,457253075794717
"976";1000;8;5;5;"SPCA";0,30636990453276
"977";1000;8;5;10;"PCA";0,254918893219286
"978";1000;8;5;10;"SPCA";0,304190576831513
"979";1000;9;5;3;"PCA";3,93757909612099
"980";1000;9;5;3;"SPCA";0,269156079843554
"981";1000;9;5;5;"PCA";0,38270290774506
"982";1000;9;5;5;"SPCA";0,271740964867117
"983";1000;9;5;10;"PCA";0,20707830223399
"984";1000;9;5;10;"SPCA";0,274458203935701
"985";1000;10;5;3;"PCA";2,04845714802993
"986";1000;10;5;3;"SPCA";0,226776348424723
"987";1000;10;5;5;"PCA";0,351358622278001
"988";1000;10;5;5;"SPCA";0,233304789917279
"989";1000;10;5;10;"PCA";0,187837258218952
"990";1000;10;5;10;"SPCA";0,231781204972256
"991";1000;11;5;3;"PCA";3,28707335270408
"992";1000;11;5;3;"SPCA";0,21839450457998
"993";1000;11;5;5;"PCA";0,313410325090789
"994";1000;11;5;5;"SPCA";0,199992458816875
"995";1000;11;5;10;"PCA";0,151269323928234
"996";1000;11;5;10;"SPCA";0,217753666262866
"997";1000;12;5;3;"PCA";2,30109968916823
"998";1000;12;5;3;"SPCA";0,19235048567759
"999";1000;12;5;5;"PCA";0,293525606824442
"1000";1000;12;5;5;"SPCA";0,19172768956405
"1001";1000;12;5;10;"PCA";0,143364125024614
"1002";1000;12;5;10;"SPCA";0,199950657772197
"1003";1000;13;5;3;"PCA";1,71860636505096
"1004";1000;13;5;3;"SPCA";0,172290562864994
"1005";1000;13;5;5;"PCA";0,259643802778915
"1006";1000;13;5;5;"SPCA";0,173086215340356
"1007";1000;13;5;10;"PCA";0,12691728843302
"1008";1000;13;5;10;"SPCA";0,176233327652509
"1009";1000;14;5;3;"PCA";1,77249087691825
"1010";1000;14;5;3;"SPCA";0,157573508421088
"1011";1000;14;5;5;"PCA";0,264470962459809
"1012";1000;14;5;5;"SPCA";0,151305239183735
"1013";1000;14;5;10;"PCA";0,115967880512542
"1014";1000;14;5;10;"SPCA";0,159264294090027
"1015";1000;15;5;3;"PCA";2,08930491669687
"1016";1000;15;5;3;"SPCA";0,158093463186546
"1017";1000;15;5;5;"PCA";0,207136402693969
"1018";1000;15;5;5;"SPCA";0,145196322290276
"1019";1000;15;5;10;"PCA";0,111277451863551
"1020";1000;15;5;10;"SPCA";0,152003983271331
"1021";1000;16;5;3;"PCA";1,36329891209199
"1022";1000;16;5;3;"SPCA";0,140668182160149
"1023";1000;16;5;5;"PCA";0,201376772857946
"1024";1000;16;5;5;"SPCA";0,14210550086162
"1025";1000;16;5;10;"PCA";0,102401716249138
"1026";1000;16;5;10;"SPCA";0,137719598317297
"1027";1000;17;5;3;"PCA";1,23228026327336
"1028";1000;17;5;3;"SPCA";0,129826144387733
"1029";1000;17;5;5;"PCA";0,192276380256403
"1030";1000;17;5;5;"SPCA";0,135378673462445
"1031";1000;17;5;10;"PCA";0,0970389487063791
"1032";1000;17;5;10;"SPCA";0,134651917698262
"1033";1000;18;5;3;"PCA";1,89050323750928
"1034";1000;18;5;3;"SPCA";0,121785930377223
"1035";1000;18;5;5;"PCA";0,194902369060373
"1036";1000;18;5;5;"SPCA";0,129491882824404
"1037";1000;18;5;10;"PCA";0,0915001443504819
"1038";1000;18;5;10;"SPCA";0,123522617861258
"1039";1000;19;5;3;"PCA";0,868465816347259
"1040";1000;19;5;3;"SPCA";0,11646799530265
"1041";1000;19;5;5;"PCA";0,162692211452578
"1042";1000;19;5;5;"SPCA";0,118094459834975
"1043";1000;19;5;10;"PCA";0,0856544246204826
"1044";1000;19;5;10;"SPCA";0,113860555055832
"1045";1000;20;5;3;"PCA";0,994540282498834
"1046";1000;20;5;3;"SPCA";0,1149807397279
"1047";1000;20;5;5;"PCA";0,150212795476671
"1048";1000;20;5;5;"SPCA";0,11313244169964
"1049";1000;20;5;10;"PCA";0,0780531644411308
"1050";1000;20;5;10;"SPCA";0,111954523813276
"1051";1000;21;5;3;"PCA";1,23115419650507
"1052";1000;21;5;3;"SPCA";0,106352257870813
"1053";1000;21;5;5;"PCA";0,165301595050525
"1054";1000;21;5;5;"SPCA";0,104476553962825
"1055";1000;21;5;10;"PCA";0,0750443100972644
"1056";1000;21;5;10;"SPCA";0,103790665368456
"1057";1000;22;5;3;"PCA";0,950753765993252
"1058";1000;22;5;3;"SPCA";0,0989516099968984
"1059";1000;22;5;5;"PCA";0,140224903745759
"1060";1000;22;5;5;"SPCA";0,0999886598520107
"1061";1000;22;5;10;"PCA";0,0709179411012159
"1062";1000;22;5;10;"SPCA";0,104019660451239
"1063";1000;23;5;3;"PCA";0,646420978024748
"1064";1000;23;5;3;"SPCA";0,0925502691366584
"1065";1000;23;5;5;"PCA";0,14426874598412
"1066";1000;23;5;5;"SPCA";0,0938568010999218
"1067";1000;23;5;10;"PCA";0,0703605162286494
"1068";1000;23;5;10;"SPCA";0,0994244200808066
"1069";1000;24;5;3;"PCA";0,980868363039375
"1070";1000;24;5;3;"SPCA";0,0936076837608143
"1071";1000;24;5;5;"PCA";0,140893180837246
"1072";1000;24;5;5;"SPCA";0,0948115062459346
"1073";1000;24;5;10;"PCA";0,0645427757016752
"1074";1000;24;5;10;"SPCA";0,0910778923316029
"1075";1000;25;5;3;"PCA";1,52731265387492
"1076";1000;25;5;3;"SPCA";0,0905310624640307
"1077";1000;25;5;5;"PCA";0,118514847894942
"1078";1000;25;5;5;"SPCA";0,0882255940635203
"1079";1000;25;5;10;"PCA";0,0600270775165528
"1080";1000;25;5;10;"SPCA";0,0824200667048958
"1081";1000;26;5;3;"PCA";0,873522627288622
"1082";1000;26;5;3;"SPCA";0,0829097863321112
"1083";1000;26;5;5;"PCA";0,120828792748655
"1084";1000;26;5;5;"SPCA";0,0858877636420893
"1085";1000;26;5;10;"PCA";0,0623519949927722
"1086";1000;26;5;10;"SPCA";0,0849642284017158
"1087";1000;27;5;3;"PCA";0,846928900216179
"1088";1000;27;5;3;"SPCA";0,0853852043402923
"1089";1000;27;5;5;"PCA";0,130659233042342
"1090";1000;27;5;5;"SPCA";0,0846896731004155
