"";"n";"lambda";"p";"df";"method";"cov_2norm"
"113";500;20;3;10;"PCA";0,0787089490790905
"114";500;20;3;10;"SPCA";0,113124349692516
"115";500;21;3;3;"PCA";0,642031956557772
"116";500;21;3;3;"SPCA";0,11232782898315
"117";500;21;3;5;"PCA";0,144866975397442
"118";500;21;3;5;"SPCA";0,114701635852626
"119";500;21;3;10;"PCA";0,0739140258224912
"120";500;21;3;10;"SPCA";0,107210319795494
"121";500;22;3;3;"PCA";0,581871315433428
"122";500;22;3;3;"SPCA";0,102853941126421
"123";500;22;3;5;"PCA";0,139684028595392
"124";500;22;3;5;"SPCA";0,111283902977657
"125";500;22;3;10;"PCA";0,0705249911905516
"126";500;22;3;10;"SPCA";0,109161100307263
"127";500;23;3;3;"PCA";0,601433243825196
"128";500;23;3;3;"SPCA";0,109780914430659
"129";500;23;3;5;"PCA";0,140560871675726
"130";500;23;3;5;"SPCA";0,0973683924131379
"131";500;23;3;10;"PCA";0,0688613663294787
"132";500;23;3;10;"SPCA";0,104225003431333
"133";500;24;3;3;"PCA";0,642398242034361
"134";500;24;3;3;"SPCA";0,0980788499491738
"135";500;24;3;5;"PCA";0,139084122099882
"136";500;24;3;5;"SPCA";0,0945038494613827
"137";500;24;3;10;"PCA";0,0640743781980366
"138";500;24;3;10;"SPCA";0,0964825834856149
"139";500;25;3;3;"PCA";0,583445231148083
"140";500;25;3;3;"SPCA";0,0920594733604295
"141";500;25;3;5;"PCA";0,119498062282261
"142";500;25;3;5;"SPCA";0,0913231383901615
"143";500;25;3;10;"PCA";0,0632552253465018
"144";500;25;3;10;"SPCA";0,101764968304985
"145";500;26;3;3;"PCA";0,542476583252637
"146";500;26;3;3;"SPCA";0,0965236078778534
"147";500;26;3;5;"PCA";0,0999330746679195
"148";500;26;3;5;"SPCA";0,0925361556869684
"149";500;26;3;10;"PCA";0,0569204201376004
"150";500;26;3;10;"SPCA";0,0923302644555543
"151";500;27;3;3;"PCA";0,483957160357777
"152";500;27;3;3;"SPCA";0,0851187594620184
"153";500;27;3;5;"PCA";0,102303926642733
"154";500;27;3;5;"SPCA";0,0822012638209079
"155";500;27;3;10;"PCA";0,05523702399741
"156";500;27;3;10;"SPCA";0,0799285753351525
"157";500;28;3;3;"PCA";0,640477097396925
"158";500;28;3;3;"SPCA";0,0858718280889992
"159";500;28;3;5;"PCA";0,0950846541497828
"160";500;28;3;5;"SPCA";0,0808475096387482
"161";500;28;3;10;"PCA";0,0517335123838191
"162";500;28;3;10;"SPCA";0,0822618903059709
"163";500;29;3;3;"PCA";0,512895484020489
"164";500;29;3;3;"SPCA";0,0825256352761301
"165";500;29;3;5;"PCA";0,100508531715713
"166";500;29;3;5;"SPCA";0,0800557906654276
"167";500;29;3;10;"PCA";0,0511215804005129
"168";500;29;3;10;"SPCA";0,0806361178841701
"169";500;30;3;3;"PCA";0,422357347404908
"170";500;30;3;3;"SPCA";0,0826824667160611
"171";500;30;3;5;"PCA";0,0912118015391384
"172";500;30;3;5;"SPCA";0,0741096751317199
"173";500;30;3;10;"PCA";0,0484830329132762
"174";500;30;3;10;"SPCA";0,0749732911573045
"175";500;31;3;3;"PCA";0,484346689216286
"176";500;31;3;3;"SPCA";0,0791957823048292
"177";500;31;3;5;"PCA";0,0860323120895279
"178";500;31;3;5;"SPCA";0,0789897171481149
"179";500;31;3;10;"PCA";0,0470368897849717
"180";500;31;3;10;"SPCA";0,0763904061262035
"181";500;32;3;3;"PCA";0,33962469186417
"182";500;32;3;3;"SPCA";0,0749154034478177
"183";500;32;3;5;"PCA";0,0813188851964877
"184";500;32;3;5;"SPCA";0,0727614531327561
"185";500;32;3;10;"PCA";0,0456900771283091
"186";500;32;3;10;"SPCA";0,0771110692664382
"187";500;33;3;3;"PCA";0,576698815728471
"188";500;33;3;3;"SPCA";0,0753891861057422
"189";500;33;3;5;"PCA";0,0943812874232144
"190";500;33;3;5;"SPCA";0,0769345212063958
"191";500;33;3;10;"PCA";0,0448020089311108
"192";500;33;3;10;"SPCA";0,0720200748291013
"193";500;34;3;3;"PCA";0,52671994184601
"194";500;34;3;3;"SPCA";0,0710323517818672
"195";500;34;3;5;"PCA";0,0750233940236396
"196";500;34;3;5;"SPCA";0,0742183174578547
"197";500;34;3;10;"PCA";0,0452079307724439
"198";500;34;3;10;"SPCA";0,0713817115247256
"199";500;35;3;3;"PCA";0,351464714820313
"200";500;35;3;3;"SPCA";0,0755499436323291
"201";500;35;3;5;"PCA";0,077226983762379
"202";500;35;3;5;"SPCA";0,0677514001511882
"203";500;35;3;10;"PCA";0,0388108122530965
"204";500;35;3;10;"SPCA";0,0677064119834002
"205";500;36;3;3;"PCA";0,333077374819512
"206";500;36;3;3;"SPCA";0,06289810096359
"207";500;36;3;5;"PCA";0,0771684076425692
"208";500;36;3;5;"SPCA";0,0642082009024319
"209";500;36;3;10;"PCA";0,0407564324912761
"210";500;36;3;10;"SPCA";0,0656223365515561
"211";500;37;3;3;"PCA";0,397506941886329
"212";500;37;3;3;"SPCA";0,0673846107768567
"213";500;37;3;5;"PCA";0,0734359592516025
"214";500;37;3;5;"SPCA";0,0643102933928489
"215";500;37;3;10;"PCA";0,0414251175816561
"216";500;37;3;10;"SPCA";0,067036694458088
"217";500;38;3;3;"PCA";0,348274907139934
"218";500;38;3;3;"SPCA";0,0646968240412866
"219";500;38;3;5;"PCA";0,0726914746032164
"220";500;38;3;5;"SPCA";0,0706728061204928
"221";500;38;3;10;"PCA";0,0380474336168154
"222";500;38;3;10;"SPCA";0,0613579858357601
"223";500;39;3;3;"PCA";0,337494246104245
"224";500;39;3;3;"SPCA";0,0606798183307775
"225";500;39;3;5;"PCA";0,0734526857947891
